key_word,article_id,title,category,author,article_href,content,side_note
wall street crash,177832,"Recession, robots and rockets: another roaring 20s for world markets?",Tech/Tech News,Tom Arnold and Elizabeth Howcroft,https://www.thestar.com.my/tech/tech-news/2019/12/28/recession-robots-and-rockets-another-roaring-20s-for-world-markets,,
wall street crash,177832,"Recession, robots and rockets: another roaring 20s for world markets?",Tech/Tech News,Tom Arnold and Elizabeth Howcroft,https://www.thestar.com.my/tech/tech-news/2019/12/28/recession-robots-and-rockets-another-roaring-20s-for-world-markets,,
wall street crash,178027,"Recession, robots and rockets: another roaring 20s for world markets?",Business/Business News,NA,https://www.thestar.com.my/business/business-news/2019/12/28/recession-robots-and-rockets-another-roaring-20s-for-world-markets,,
wall street crash,178027,"Recession, robots and rockets: another roaring 20s for world markets?",Business/Business News,NA,https://www.thestar.com.my/business/business-news/2019/12/28/recession-robots-and-rockets-another-roaring-20s-for-world-markets,,
wall street crash,62D7BBE2-D38F-455B-9DA6-280A045B5032,Economic crisis can trigger world war,Business/Business News,NA,https://www.thestar.com.my/business/business-news/2019/02/13/economic-crisis-can-trigger-world-war,,
wall street crash,1D35AFF4-AD07-4194-AFC6-E9B97D96619F,"Report: Fake islands, like Malaysia's Forest City, could spell economic trouble",Business/Business News,NA,https://www.thestar.com.my/business/business-news/2018/09/04/fake-islands-could-spell-real-economic-trouble,,
wall street crash,5832B5AE-16A5-40EC-8F02-6A1BE40779D4,Mexico's ruling party battles leftist nemesis in key state vote,News/World,NA,https://www.thestar.com.my/news/world/2017/05/24/mexicos-ruling-party-battles-leftist-nemesis-in-key-state-vote,"ECAPTEPEC, Mexico (Reuters) - Nine decades of rule by President Enrique Pena Nieto's Institutional Revolutionary Party (PRI) in Mexico's most populous state are hanging in the balance in an election that could batter its hopes of keeping power nationally in 2018.
Polls show the National Regeneration Movement (MORENA), the new party of veteran leftist Andres Manuel Lopez Obrador, could wrest control of the state of Mexico from the PRI by winning the governorship in the June 4 state election, a result that would ramp up the momentum for his bid to succeed Pena Nieto in 2018.
Headstrong and with more nationalist leanings than the centrist PRI, two-time presidential runner-up Lopez Obrador has led early opinion polls for next year's contest.
Financial markets are closely watching Lopez Obrador's progress. If he does win in 2018, it could stoke tensions with the United States after President Donald Trump's populist broadsides against Mexico during his own election campaign.
Castigating Pena Nieto for his government's failure to stamp out political corruption and rising gang violence, Lopez Obrador has sought to turn the state campaign into a referendum on PRI rule in the biggest remaining bastion of the ruling party.
""We're going to beat them here in the state of Mexico, because people have had it up to the quiff with corruption,"" Lopez Obrador told a rally last week in the town of Zinacantepec, using the Spanish word ""copete"" (quiff) to refer to Pena Nieto's trademark carefully gelled hair.
Pena Nieto hails from the state on the edge of Mexico City, where one in eight of the country's voters live. Before becoming president, he was governor and then helped his PRI successor win election with more than 60 percent of the vote in 2011.
TIGHT POLLS
However, surveys show the PRI struggling to muster half that this time.
A survey by newspaper Reforma in late April showed PRI gubernatorial candidate Alfredo del Mazo with the backing of 28 percent of voters, one percentage point behind Delfina Gomez of Lopez Obrador's MORENA party.
Other surveys also predict a close finish with the center-right National Action Party some way back in third place.
The PRI must also defend two other governorships in next month's elections in the states of Nayarit and Coahuila.
Shaken by the risk of losing the state that is home to 16 million people, the PRI has sought to depict Gomez as inexperienced and personally corrupt. A former teacher, Gomez was a city mayor in the region for two years.
The PRI also is throwing money at the problem. Many people at a del Mazo rally in the city of Ecatepec were drawn by the promise of handouts. One woman showed a card emblazoned with the PRI logo and a pamphlet promising a cash deposit if the party wins the election - a practice the electoral watchdog considers vote buying.
Many PRI supporters just shrug their shoulders.
""Better the devil you know,"" Maria de los Remedios Gonzalez, 49, said at the rally. ""If you don't get close to them you get nothing. At the end of the day, it's our money, and they give us a bit back.""
Some attending said they would not even vote for del Mazo.
""This election is between the PRI and MORENA. I'm for a change, personally,"" said mother-of-four Jovana Medina, 44. ""But in general, I think they're all a bunch thieves.""
GAME CHANGER
Four-and-a-half bruising years as president have hammered Pena Nieto's approval ratings and worn down the PRI, which emerged as the nation's dominant political force after the 1910-1920 Mexican Revolution.
The party's choice of del Mazo as candidate - he is both Pena Nieto's cousin, as well as the son and grandson of former PRI governors of the state - has loaded its campaign with political baggage and undercut the message of renewal.
Pena Nieto himself is barred by the constitution from seeking re-election as president in 2018.
Now 63, Lopez Obrador has likened del Mazo's candidacy to a ""monarchy,"" and he and other opposition leaders have attacked the PRI for its cozy relationship with businesses in the state that they say helped fund its electoral campaigns.
The silver-haired former Mexico City mayor also has lashed out repeatedly at rival parties that refuse to support him, feeding PRI hopes that divisions in the opposition will enable it to scramble enough votes together to hold on to the state.
Lopez Obrador, who has a history of accusing rivals of cheating, has already warned supporters that the PRI will resort to fraud to claim victory in a state long synonymous with unscrupulous politics - but also the party's success.
An early incarnation of the PRI took hold of the region shortly before the Wall Street Crash of 1929, and for the next 60 years, the party ran every Mexican state.
But since its first state loss in 1989, the opposition has gradually whittled away its regional bases, leaving the state of Mexico as the nerve centre of the PRI political machine.
That makes the state a game-changer, said Fernando Belaunzaran, a politician in the centre-left Party of the Democratic Revolution and trenchant Lopez Obrador critic, who nonetheless argues a MORENA triumph is preferable to the PRI.
""If Delfina wins, it's virtually a formality that (Lopez Obrador) will end up as president,"" he said.
(Additional reporting by Dave Graham; Editing by Bill Trott)","WORLD
Wednesday, 24 May 2017
1:36 PM MYT
By Anahi Rama"
wall street crash,3B369ECF-F79A-4978-A4B8-FE0DC2AE69AB,How low rates affect stock market returns,Business/Business News,NA,https://www.thestar.com.my/business/business-news/2016/12/10/how-low-rates-affect-stock-market-returns,"History offers lessons on how low rates – and equity market valuations – might affect returns
THE world has been living with low interest rates for eight years but such periods are not new.
Both the US and UK saw rates below 1% for most of the two decades spanning the Second World War, while Japan has been living with sub-1% rates since 1995.
Stock markets performed very differently in each case, with an exceptionally strong performance in the US but a more lacklustre showing in the UK and barely positive returns in Japan. Although performance was very different, this research argues that the lessons from all three were remarkably similar.
The valuations of equity markets probably remain the most important determinant of performance, but company profits also need to grow. Whether they do is linked to a host of factors, not least government finances and fiscal policy, demographics, the health of the banking sector and inflation.
And, of course, the past performance of markets is no guide to future returns.
The US experience 1933-1950
US equities delivered an annualised return of 11.6% between 1933 and 1950, or 7.6% a year in real terms – once inflation is taken into account. This was an 18-year period when short-term US interest rates averaged less than 0.5%.
It coincided with the end of the Great Depression, the recession of 1937 and the Second World War and its aftermath.
Several key features stand out:
> Stockmarkets were cheap to start with.
> Government spending drove high economic growth.
> Company profits were low with scope to rise.
Stock markets were cheap following the Wall Street crash. One measure of value is Cape or cyclically-adjusted price-to-earnings ratio. Profits are compared with prices as with the usual price-to-earnings ratio, but with the earnings, after inflation, recorded over a decade and averaged out.
This helps to smooth out possible distortions from economic cycles.
Between September 1929 and June 1932, US equities fell by almost 85%. It left Cape by the end of 1932, at 8.3, well below its historic average of 14.9 (see the chart below). At 7.2%, the dividend yield was also very attractive.
Economic growth was also very strong with GDP after inflation growing at an annual average rate of 5.8% between 1933 and 1950. Government spending grew at 6.5% a year above inflation.
This was possible due to a low and rising level of government debt – at only 16.5% of GDP in 1930. The ratio peaked at 106% in 1946 before falling to 79% by 1950. With today’s ratio already around the 1950 level, there would appear to be far less capacity for an escalation in government spending.
However, with monetary policy becoming less effective, the clamour for such spending is growing.
Another factor to consider is that company profits when compared to the size of the economy were historically low in America in 1932. From this low point, profits after inflation grew by an average 7.4% a year between 1933 and 1950.
By contrast, profit margins today are at historically high levels with far less room for improvement.
To summarise, the US market currently scores poorly on every single indicator that supported equites between 1933 and 1950. More challenging times are likely to lie ahead.
The UK experience 1933-1950
In the UK, the average short-term interest rates were 0.7%, only slightly higher than in the US. However, UK equities generated annual returns of just 5.6%. With inflation factored in, returns were barely positive and well below the 7.6% a year average on the opposite side of the Atlantic.
Why was there such a divergence?
The fall in UK shares between 1929 and 1932 was more modest than in the US. As a result, the US market was noticeably cheaper than the UK by the end of 1932. The UK dividend yield was 4.5%, slightly below its historic average.
The US also outperformed in the 1940s, when any rebound was arguably over. Fundamentally, this difference in returns comes down to the UK’s poor relative economic performance during and after the war. GDP, after inflation, grew at 10.9% a year between 1939 and 1945 in the US, but at only 2.4% a year in the UK.
Two world wars had left the UK with a heavy debt burden, which allowed less room for manoeuvre.
The Japanese experience 1995-2016
Japan’s episode of low rates, which still exists today, has been significantly different to the earlier experiences of the UK and US. Since rates were cut to 0.5% in September 1995, Japanese equities have returned only 1.2% a year.
Even so, wide market fluctuations suggest there have been significant trading opportunities.
The explanation for many of Japan’s woes lies in the bubble years of the 1980s. It burst at the end of the decade as the Bank of Japan, concerned by an overheating economy, raised rates rapidly, a policy soon reversed. Although valuations fell rapidly, they remained very expensive in a global context in September 1995.
A combination of low interest rates and lack of will over the subsequent years meant bad debts were not recognised and there was little attempt to recapitalise banks. This led to the misallocation of capital, as healthier firms were starved of finance, and contributed to Japan’s declining productivity relative to the rest of the world.
GDP in 2016 was no higher than its level in 1995. This has been exacerbated by Japan’s ageing population. The proportion of the population aged 65 and over has more than doubled since 1990 to 26%.
Furthermore, the number of Japanese citizens aged between 20 and 64 has fallen by almost 10% since 2000, with another 10% decline projected over the next 15 years (Figure 4, left side).
With fewer people working, it is difficult for monetary or fiscal policy to raise economic output. By contrast only just over 5% of the US population was aged over 65 in 1930.
The country’s economic problems have been compounded by persistent deflation. This has raised the real cost of borrowing and made it harder to pay down debts. It has also discouraged spending and investment, and seen wages fall. Government debts had climbed to nearly 250% of GDP by the end of 2015.
In addition, Japanese firms have been perennially inefficient because of lower standard of corporate governance compared with global peers. More efficient firms offer better shareholder returns.
There are signs that things are moving in the right direction. A corporate governance code has been established and the Bank of Japan and the Japanese Government Pension Investment Fund are diverting some equity investment towards companies that meet higher standards of governance. If sustained, these moves should underpin future gains in Japanese equities.
Conclusion
Very long periods of very low rates are not a new phenomenon and can result in wildly different outcomes for equity investors as the US, UK and Japanese experiences demonstrate.
Long-term returns may be poor when valuations are high, unless company profits grow very quickly.
Government finances and fiscal policy, demographics, the health of the banking sector and inflation all demand our attention.
No one market stands out as being particularly attractive in these terms. If global economic growth stabilises or improves, then emerging markets and Japan look best placed, while the highly-rated US market may struggle.
However, if global growth slows, both emerging markets and Japan, along with Europe, could come under renewed pressure and the US is likely to prove more resilient.
Investors need to be flexible and ready to seek investment opportunities where evidence of innovation and growth is strongest.
Finally, although volatility is often viewed in negative terms, investors should also take some comfort in the bumpy ride that Japanese equities have experienced over the past two decades.
These conditions, if repeated in this or other markets, should allow skilful investors to add value though timely allocations.
Please remember that past performance is not a guide to future performance and may not be repeated. The value of investments and the income from them may go down as well as up and investors may not get back the amounts originally invested. Exchange rate changes may cause the value of any overseas investments to rise or fall.
Duncan Lamont is head of research and analytics of Schroders.","BUSINESS
Saturday, 10 Dec 2016
12:00 AM MYT"
wall street crash,265372,"Eddie Redmayne is a nerd, says co-star",People/Movies,NA,https://www.thestar.com.my/lifestyle/people/2016/12/01/eddie-redmayne-is-a-nerd-says-co-star,,"MOVIES
Thursday, 01 Dec 2016
6:50 AM MYT
By SHARMILA NAIR"
wall street crash,265372,"Eddie Redmayne is a nerd, says co-star",People/Movies,NA,https://www.thestar.com.my/lifestyle/people/2016/12/01/eddie-redmayne-is-a-nerd-says-co-star,"Academy Award winner Eddie Redmayne has taken on some pretty iconic roles in his somewhat fairly new career.
He played scientist Stephen Hawking in The Theory Of Everything (which earned him the Best Actor Oscar in 2015), and was nominated in the same category again a year later for his role as transgender artist Einar Wegener/Lili Elbe in The Danish Girl.","MOVIES
Thursday, 01 Dec 2016
6:50 AM MYT
By SHARMILA NAIR"
